ID,Name,Age,Gender,Income,Department,JoinDate,Rating,Remarks
1,David,23.0,Male,46939.23,Marketing,2020-05-03,4.0,Good
2,Eva,26.0,Other,35141.34,Marketing,2020-10-07,3.3,Good
3,Charlie,49.0,Other,52011.45,Sales,2010-10-23,3.5,Good
4,Eva,23.0,Female,55148.2,HR,2018-04-06,1.6,Average
5,Eva,29.0,Female,55930.32,HR,2018-11-26,1.6,Poor
6,Bob,26.0,Female,64591.78,IT,2020-11-15,2.6,Poor
7,Charlie,,Female,44302.87,IT,2013-02-28,2.4,Poor
8,Charlie,33.0,Male,49022.65,HR,2020-11-24,3.8,Average
9,Charlie,30.0,Female,37340.71,IT,2011-06-17,3.9,Good
10,Eva,37.0,Male,53505.78,IT,2012-10-28,3.3,Poor
11,David,36.0,Other,37120.26,Sales,2012-06-06,2.6,Average
12,Charlie,37.0,Other,41151.25,HR,2018-12-17,3.7,Average
13,Eva,22.0,Male,64751.77,Sales,2018-01-04,3.7,Good
14,Bob,35.0,Female,52047.2,Sales,2016-08-29,4.2,Excellent
15,David,35.0,Other,71368.49,Marketing,2019-11-07,4.2,Average
16,Bob,21.0,Male,67650.76,HR,2020-09-20,1.3,
17,David,27.0,,53236.16,Sales,2017-02-08,2.5,Average
18,Eva,,Female,55305.67,IT,2013-11-30,2.7,Excellent
19,Alice,35.0,Male,46422.56,Marketing,2016-08-17,4.4,Excellent
20,David,35.0,Other,65658.61,IT,2018-11-10,3.0,
21,Bob,41.0,Female,55446.87,Marketing,2017-02-17,3.0,Poor
22,Eva,28.0,Male,63643.41,IT,2017-05-27,3.2,Average
23,David,33.0,Male,40297.03,IT,2015-08-09,1.5,Good
24,Alice,37.0,Male,29583.9,IT,2011-06-07,3.3,Good
25,Alice,23.0,Male,57533.82,Sales,2012-04-14,3.2,
26,Charlie,22.0,Other,60541.9,HR,2013-10-09,4.0,Excellent
27,Charlie,24.0,,51127.84,Marketing,2019-07-13,3.5,Poor
28,Bob,27.0,Male,58679.25,Sales,2011-05-26,4.8,Average
29,David,23.0,Male,37220.0,Marketing,2017-12-15,1.3,Average
30,David,24.0,,64089.47,Sales,2018-03-30,4.1,Average
31,Charlie,37.0,Male,67575.78,Marketing,2010-07-31,4.0,Good
32,David,29.0,Female,65310.23,Marketing,2012-07-15,2.1,Poor
33,David,32.0,Other,51859.53,IT,2017-04-26,3.8,
34,Alice,25.0,Female,67797.41,Marketing,2020-10-04,3.6,Good
35,Charlie,25.0,Other,32856.98,Marketing,2010-12-11,2.2,Excellent
36,Eva,32.0,Male,58602.08,IT,2018-06-10,3.9,Poor
37,Charlie,31.0,Other,60746.75,Sales,2010-12-02,4.7,Excellent
38,Eva,36.0,Male,57518.63,Sales,2013-09-25,2.2,Average
39,Alice,40.0,Male,35894.45,HR,2015-03-13,4.9,Good
40,Bob,24.0,Female,,HR,2015-03-23,1.9,Poor
41,David,36.0,Female,46158.47,HR,2014-08-29,1.5,Good
42,Alice,21.0,Female,20639.01,HR,2019-02-12,1.3,Poor
43,David,46.0,Other,32334.29,Marketing,2015-10-03,1.9,Average
